years,months,year_month,days,cardinal_direction,speed_bin,count_freq,count_total,perc_freq,cumulative_perc_freq
2010,8,2010-August,28,E,2,5,24,20.833,20.833
2010,8,2010-August,30,S,1,1,24,4.167,4.167
2010,8,2010-August,31,E,2,3,23,13.043,21.739
2010,9,2010-September,1,NE,2,1,17,5.882,5.882
2010,9,2010-September,12,S,1,3,22,13.636,13.636
2010,9,2010-September,17,SW,1,1,24,4.167,4.167
2010,9,2010-September,20,S,4,1,24,4.167,20.834
2010,9,2010-September,23,SW,1,3,17,17.647,17.647
2010,9,2010-September,28,E,1,6,24,25.0,25.0
2010,9,2010-September,29,NE,3,2,24,8.333,24.999
2010,9,2010-September,29,SW,2,1,24,4.167,8.334
2010,10,2010-October,4,SE,1,4,24,16.667,16.667
2010,10,2010-October,11,S,1,5,21,23.81,23.81
2010,10,2010-October,14,W,2,1,17,5.882,5.882
2010,10,2010-October,15,NW,1,2,24,8.333,8.333
2010,10,2010-October,30,SE,1,4,24,16.667,16.667
2010,11,2010-November,4,E,3,1,24,4.167,25.0
2010,11,2010-November,7,W,2,1,24,4.167,8.334
2010,11,2010-November,10,SE,1,3,20,15.0,15.0
2010,11,2010-November,12,E,1,2,19,10.526,10.526
2010,11,2010-November,15,NE,2,2,24,8.333,8.333
2010,11,2010-November,16,S,2,1,24,4.167,16.667
2010,11,2010-November,19,NE,2,2,22,9.091,27.273
2010,11,2010-November,19,S,1,1,22,4.545,4.545
2010,11,2010-November,22,SE,1,4,21,19.048,19.048
2010,11,2010-November,25,N,3,1,23,4.348,4.348
2010,12,2010-December,4,NE,2,1,24,4.167,4.167
2010,12,2010-December,9,NW,1,1,24,4.167,4.167
2010,12,2010-December,11,NE,2,1,24,4.167,4.167
2010,12,2010-December,22,S,1,1,20,5.0,5.0
2010,12,2010-December,24,NE,3,3,24,12.5,25.0
2010,12,2010-December,25,NE,1,1,19,5.263,5.263
2010,12,2010-December,25,SE,1,2,19,10.526,10.526
2010,12,2010-December,28,E,1,4,23,17.391,17.391
2010,12,2010-December,28,NW,1,1,23,4.348,4.348
2010,12,2010-December,28,NW,2,1,23,4.348,8.696
2010,1,2010-January,24,SE,2,3,24,12.5,12.5
2010,3,2010-March,28,W,1,2,24,8.333,8.333
2010,4,2010-April,1,E,2,1,24,4.167,4.167
2010,4,2010-April,2,S,2,1,24,4.167,16.667
2010,4,2010-April,4,SE,4,1,24,4.167,33.333
2010,4,2010-April,12,NE,1,2,24,8.333,8.333
2010,4,2010-April,23,SW,2,3,24,12.5,12.5
2010,4,2010-April,24,SE,1,4,24,16.667,16.667
2010,4,2010-April,29,E,1,2,24,8.333,8.333
2010,5,2010-May,1,NE,1,3,24,12.5,12.5
2010,5,2010-May,6,E,2,2,18,11.111,16.667
2010,5,2010-May,11,SE,2,7,24,29.167,33.334
2010,5,2010-May,16,NW,3,1,24,4.167,4.167
2010,5,2010-May,20,S,1,2,24,8.333,8.333
2010,6,2010-June,1,E,1,4,24,16.667,16.667
2010,6,2010-June,4,S,3,1,24,4.167,8.334
2010,6,2010-June,8,E,2,2,24,8.333,25.0
2010,6,2010-June,9,E,1,1,24,4.167,4.167
2010,6,2010-June,11,S,1,2,24,8.333,8.333
2010,6,2010-June,12,SE,2,2,24,8.333,12.5
2010,6,2010-June,13,NE,3,1,24,4.167,16.667
